id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
nltzc,2522,vectorized_logs,1706523287.1820574,1706523287.1825604,1706523287.2030907,1706523287.2044246,1706523287.254294,395
nltzc,2523,vectorized_logs,1706523287.3829355,1706523287.383439,1706523287.4039602,1706523287.405355,1706523287.4553905,404
nltzc,2524,vectorized_logs,1706523287.5838034,1706523287.584299,1706523287.604462,1706523287.605773,1706523287.6635547,399
nltzc,2525,vectorized_logs,1706523287.7845597,1706523287.7850428,1706523287.8054495,1706523287.8067157,1706523287.86065,406
nltzc,2526,vectorized_logs,1706523287.9854083,1706523287.985902,1706523288.0063672,1706523288.0076277,1706523288.0627828,401
nltzc,2527,vectorized_logs,1706523288.1862562,1706523288.1867533,1706523288.207346,1706523288.2085521,1706523288.2639294,403
nltzc,2528,vectorized_logs,1706523288.3871095,1706523288.3876173,1706523288.4080327,1706523288.40938,1706523288.468159,403
nltzc,2529,vectorized_logs,1706523288.5880115,1706523288.5884917,1706523288.609291,1706523288.6105561,1706523288.6652641,398
nltzc,2530,vectorized_logs,1706523288.7887926,1706523288.7893088,1706523288.810481,1706523288.811864,1706523288.864579,398
nltzc,2531,vectorized_logs,1706523288.989436,1706523288.9899275,1706523289.0145,1706523289.0156589,1706523289.068765,507
nltzc,2532,vectorized_logs,1706523289.1899152,1706523289.1904404,1706523289.2113354,1706523289.2126465,1706523289.271499,401
nltzc,2533,vectorized_logs,1706523289.3906705,1706523289.391133,1706523289.4124706,1706523289.413704,1706523289.468858,401
nltzc,2534,vectorized_logs,1706523289.5914721,1706523289.5920281,1706523289.612523,1706523289.6138706,1706523289.6728525,403
nltzc,2535,vectorized_logs,1706523289.792244,1706523289.7927215,1706523289.813651,1706523289.814794,1706523289.8717892,402
nltzc,2536,vectorized_logs,1706523289.9927616,1706523289.9932353,1706523290.0151563,1706523290.0163996,1706523290.0675836,401
nltzc,2537,vectorized_logs,1706523290.1932733,1706523290.1937783,1706523290.2151353,1706523290.216259,1706523290.2647922,400
nltzc,2538,vectorized_logs,1706523290.3939636,1706523290.3944638,1706523290.4167173,1706523290.4180152,1706523290.4672146,407
nltzc,2539,vectorized_logs,1706523290.5948195,1706523290.595503,1706523290.6172512,1706523290.6182745,1706523290.6732626,409
nltzc,2540,vectorized_logs,1706523290.7957704,1706523290.7962742,1706523290.816612,1706523290.817781,1706523290.8734806,400
nltzc,2541,vectorized_logs,1706523290.9965172,1706523290.9970148,1706523291.0182679,1706523291.0192704,1706523291.072709,412
nltzc,2542,vectorized_logs,1706523291.1973732,1706523291.197905,1706523291.218781,1706523291.219993,1706523291.2747052,398
nltzc,2543,vectorized_logs,1706523291.3981726,1706523291.3986678,1706523291.4186654,1706523291.4198272,1706523291.4745152,401
nltzc,2544,vectorized_logs,1706523291.5990524,1706523291.5995345,1706523291.6195297,1706523291.620907,1706523291.676977,405
nltzc,2545,vectorized_logs,1706523291.799784,1706523291.800288,1706523291.8205917,1706523291.821856,1706523291.8808556,404
nltzc,2546,vectorized_logs,1706523292.0005267,1706523292.0010495,1706523292.021259,1706523292.0226703,1706523292.0763059,404
nltzc,2547,vectorized_logs,1706523292.2013845,1706523292.2019022,1706523292.2224855,1706523292.2238538,1706523292.281607,396
nltzc,2548,vectorized_logs,1706523292.402134,1706523292.402639,1706523292.4229176,1706523292.4240868,1706523292.4733512,409
nltzc,2549,vectorized_logs,1706523292.6029944,1706523292.6036193,1706523292.62485,1706523292.6262023,1706523292.6804805,406
nltzc,2550,vectorized_logs,1706523292.8039713,1706523292.8044596,1706523292.824627,1706523292.8258283,1706523292.8789756,399
nltzc,2551,vectorized_logs,1706523293.0047145,1706523293.0052454,1706523293.0257957,1706523293.0268726,1706523293.0784032,391
nltzc,2552,vectorized_logs,1706523293.2057567,1706523293.2062585,1706523293.2265856,1706523293.2277637,1706523293.2824304,403
nltzc,2553,vectorized_logs,1706523293.4065201,1706523293.4070432,1706523293.4274476,1706523293.4284508,1706523293.4784286,397
nltzc,2554,vectorized_logs,1706523293.6073873,1706523293.608009,1706523293.6294875,1706523293.6306942,1706523293.688535,401
nltzc,2555,vectorized_logs,1706523293.8082395,1706523293.8087375,1706523293.829663,1706523293.8309236,1706523293.879574,399
nltzc,2556,vectorized_logs,1706523294.0090728,1706523294.009576,1706523294.030154,1706523294.0314338,1706523294.0866227,398
nltzc,2557,vectorized_logs,1706523294.2098432,1706523294.2103548,1706523294.2308273,1706523294.2319312,1706523294.2785628,401
nltzc,2558,vectorized_logs,1706523294.4107542,1706523294.4113257,1706523294.431839,1706523294.4331927,1706523294.4893327,399
nltzc,2559,vectorized_logs,1706523294.6117008,1706523294.612185,1706523294.6327453,1706523294.633965,1706523294.684248,398
nltzc,2560,vectorized_logs,1706523294.812477,1706523294.8129625,1706523294.833216,1706523294.8345494,1706523294.8897386,401
nltzc,2561,vectorized_logs,1706523295.0132115,1706523295.0136833,1706523295.0341668,1706523295.0353765,1706523295.0820093,397
nltzc,2562,vectorized_logs,1706523295.2140348,1706523295.2145119,1706523295.234478,1706523295.2357426,1706523295.289674,408
nltzc,2563,vectorized_logs,1706523295.4147704,1706523295.415262,1706523295.435836,1706523295.4370959,1706523295.490844,412
nltzc,2564,vectorized_logs,1706523295.6154993,1706523295.6160853,1706523295.6387475,1706523295.639941,1706523295.6884506,395
nltzc,2565,vectorized_logs,1706523295.8162985,1706523295.8167973,1706523295.837499,1706523295.8383296,1706523295.8820112,393
nltzc,2566,vectorized_logs,1706523296.01706,1706523296.0175846,1706523296.0379894,1706523296.0392175,1706523296.0959327,399
nltzc,2567,vectorized_logs,1706523296.2179224,1706523296.2184489,1706523296.2388268,1706523296.240003,1706523296.2927396,396
nltzc,2568,vectorized_logs,1706523296.4187381,1706523296.4192424,1706523296.4399836,1706523296.4409888,1706523296.4971368,400
nltzc,2569,vectorized_logs,1706523296.6194851,1706523296.6200602,1706523296.6407108,1706523296.641906,1706523296.690931,397
nltzc,2570,vectorized_logs,1706523296.8202875,1706523296.8208299,1706523296.8411782,1706523296.8423946,1706523296.8933434,394
nltzc,2571,vectorized_logs,1706523297.0211427,1706523297.0216668,1706523297.0426557,1706523297.0438435,1706523297.0909932,404
nltzc,2572,vectorized_logs,1706523297.2219512,1706523297.2224815,1706523297.242738,1706523297.2438858,1706523297.3020248,400
nltzc,2573,vectorized_logs,1706523297.4227366,1706523297.4232218,1706523297.4432285,1706523297.444331,1706523297.4991431,399
nltzc,2574,vectorized_logs,1706523297.6236465,1706523297.6241343,1706523297.6449049,1706523297.6459837,1706523297.7061446,401
nltzc,2575,vectorized_logs,1706523297.8243954,1706523297.824873,1706523297.8456223,1706523297.8468287,1706523297.8924854,407
nltzc,2576,vectorized_logs,1706523298.024999,1706523298.025493,1706523298.0465405,1706523298.0477736,1706523298.1044774,403
nltzc,2577,vectorized_logs,1706523298.2258327,1706523298.226338,1706523298.2469795,1706523298.2482154,1706523298.3005707,407
nltzc,2578,vectorized_logs,1706523298.4266875,1706523298.4273455,1706523298.4486625,1706523298.4497457,1706523298.4992497,402
nltzc,2579,vectorized_logs,1706523298.6276698,1706523298.6282098,1706523298.648732,1706523298.6500125,1706523298.7032304,401
nltzc,2580,vectorized_logs,1706523298.8286424,1706523298.8291404,1706523298.8493304,1706523298.8505688,1706523298.8992906,409
nltzc,2581,vectorized_logs,1706523299.0294154,1706523299.0299609,1706523299.0505269,1706523299.051762,1706523299.1146004,405
nltzc,2582,vectorized_logs,1706523299.2301562,1706523299.2306473,1706523299.2509198,1706523299.252151,1706523299.3074176,404
nltzc,2583,vectorized_logs,1706523299.4309862,1706523299.4314885,1706523299.4519746,1706523299.452907,1706523299.5009623,410
nltzc,2584,vectorized_logs,1706523299.6317675,1706523299.6322694,1706523299.653673,1706523299.6547105,1706523299.7064612,409
nltzc,2585,vectorized_logs,1706523299.8325408,1706523299.833013,1706523299.8533807,1706523299.8545864,1706523299.910259,399
nltzc,2586,vectorized_logs,1706523300.0334818,1706523300.0339847,1706523300.0548325,1706523300.0560193,1706523300.1115713,399
nltzc,2587,vectorized_logs,1706523300.2343597,1706523300.2348435,1706523300.2559288,1706523300.2571206,1706523300.3166304,405
nltzc,2588,vectorized_logs,1706523300.435221,1706523300.4358768,1706523300.4610746,1706523300.4622557,1706523300.512973,399
nltzc,2589,vectorized_logs,1706523300.636152,1706523300.636678,1706523300.6573496,1706523300.6585844,1706523300.715169,401
nltzc,2590,vectorized_logs,1706523300.8369374,1706523300.837464,1706523300.8581994,1706523300.8592825,1706523300.91798,400
nltzc,2591,vectorized_logs,1706523301.0378442,1706523301.038371,1706523301.0590386,1706523301.060434,1706523301.118652,400
nltzc,2592,vectorized_logs,1706523301.2387025,1706523301.239226,1706523301.2619061,1706523301.263127,1706523301.3138578,402
nltzc,2593,vectorized_logs,1706523301.439471,1706523301.4400535,1706523301.4614313,1706523301.4627233,1706523301.5201023,391
nltzc,2594,vectorized_logs,1706523301.6402926,1706523301.64079,1706523301.661234,1706523301.6623466,1706523301.717888,407
nltzc,2595,vectorized_logs,1706523301.8411155,1706523301.841612,1706523301.8636782,1706523301.8647447,1706523301.9211533,411
nltzc,2596,vectorized_logs,1706523302.0419862,1706523302.042495,1706523302.0632854,1706523302.0645137,1706523302.1230137,405
nltzc,2597,vectorized_logs,1706523302.2428458,1706523302.2433493,1706523302.2674768,1706523302.2688346,1706523302.325853,404
nltzc,2598,vectorized_logs,1706523302.4437492,1706523302.4443052,1706523302.4659684,1706523302.4672346,1706523302.5259745,395
nltzc,2599,vectorized_logs,1706523302.6445377,1706523302.6450603,1706523302.6660979,1706523302.66729,1706523302.7225056,395
nltzc,2600,vectorized_logs,1706523302.84548,1706523302.8459544,1706523302.8663309,1706523302.8676562,1706523302.9275565,409
nltzc,2601,vectorized_logs,1706523303.0461485,1706523303.0466576,1706523303.0672126,1706523303.0684142,1706523303.127086,404
nltzc,2602,vectorized_logs,1706523303.2470138,1706523303.2475195,1706523303.267891,1706523303.269034,1706523303.3240478,398
nltzc,2603,vectorized_logs,1706523303.4478762,1706523303.448388,1706523303.4715366,1706523303.4728832,1706523303.5199933,400
nltzc,2604,vectorized_logs,1706523303.6487398,1706523303.6492708,1706523303.6723807,1706523303.6734781,1706523303.7277193,405
nltzc,2605,vectorized_logs,1706523303.8495018,1706523303.8499877,1706523303.8704576,1706523303.8717175,1706523303.92379,398
nltzc,2606,vectorized_logs,1706523304.0503368,1706523304.0508385,1706523304.0717995,1706523304.0728357,1706523304.120636,401
nltzc,2607,vectorized_logs,1706523304.251193,1706523304.2517214,1706523304.272967,1706523304.273993,1706523304.3258467,395
nltzc,2608,vectorized_logs,1706523304.4520538,1706523304.452565,1706523304.4733632,1706523304.4744053,1706523304.5262005,398
nltzc,2609,vectorized_logs,1706523304.6528225,1706523304.653335,1706523304.6736293,1706523304.6748052,1706523304.7216864,399
nltzc,2610,vectorized_logs,1706523304.8536556,1706523304.8541665,1706523304.8743026,1706523304.8754714,1706523304.9341545,397
nltzc,2611,vectorized_logs,1706523305.0545022,1706523305.0550058,1706523305.075535,1706523305.0768788,1706523305.1300826,405
nltzc,2612,vectorized_logs,1706523305.2553508,1706523305.2558699,1706523305.27733,1706523305.2782166,1706523305.333128,399
nltzc,2613,vectorized_logs,1706523305.4561963,1706523305.4567122,1706523305.4781733,1706523305.4792671,1706523305.536176,401
nltzc,2614,vectorized_logs,1706523305.6569731,1706523305.657484,1706523305.6784003,1706523305.6795979,1706523305.7404416,401
nltzc,2615,vectorized_logs,1706523305.8577285,1706523305.8583133,1706523305.8807235,1706523305.881783,1706523305.9402227,401
nltzc,2616,vectorized_logs,1706523306.0585287,1706523306.0590293,1706523306.0794792,1706523306.0808735,1706523306.1301758,410
nltzc,2617,vectorized_logs,1706523306.2592747,1706523306.2599955,1706523306.2803962,1706523306.2813816,1706523306.3397782,562
nltzc,2618,vectorized_logs,1706523306.46006,1706523306.460761,1706523306.4821193,1706523306.4833384,1706523306.5367646,397
nltzc,2619,vectorized_logs,1706523306.6611497,1706523306.6616607,1706523306.6820033,1706523306.6830947,1706523306.7358906,398
nltzc,2620,vectorized_logs,1706523306.861991,1706523306.8624954,1706523306.882876,1706523306.8840811,1706523306.9405982,406
nltzc,2621,vectorized_logs,1706523307.0627897,1706523307.0632951,1706523307.0840986,1706523307.0853024,1706523307.1464548,401
nltzc,2622,vectorized_logs,1706523307.263676,1706523307.2642412,1706523307.284674,1706523307.28586,1706523307.3430274,404
nltzc,2623,vectorized_logs,1706523307.4644382,1706523307.4649415,1706523307.4851494,1706523307.4862428,1706523307.5392046,411
nltzc,2624,vectorized_logs,1706523307.665285,1706523307.665795,1706523307.6925397,1706523307.6940212,1706523307.747561,402
nltzc,2625,vectorized_logs,1706523307.8660586,1706523307.866571,1706523307.8869908,1706523307.8880062,1706523307.9405086,407
nltzc,2626,vectorized_logs,1706523308.0669959,1706523308.0675714,1706523308.0881639,1706523308.0891008,1706523308.1371381,394
nltzc,2627,vectorized_logs,1706523308.267834,1706523308.2683444,1706523308.288858,1706523308.2898927,1706523308.3479922,399
nltzc,2628,vectorized_logs,1706523308.4687314,1706523308.4692469,1706523308.489559,1706523308.4906387,1706523308.544539,406
