id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time
7m8kc,640,vectorized_logs,1706002732.4745712,1706002732.5088177,1706002732.5415895,1706002755.2540789,1706002755.2869153
24dql,640,vectorized_logs,1706002732.4712396,1706002732.4966848,1706002732.5286155,1706002755.2871692,1706002755.321392
8sctx,640,vectorized_logs,1706002732.473178,1706002732.4966433,1706002732.528058,1706002755.3215172,1706002755.361379
qmsxn,610,vectorized_logs,1706002729.3533492,1706002729.4362836,1706002729.4627216,1706002755.361537,1706002755.3975372
7m8kc,641,vectorized_logs,1706002732.5759513,1706002732.6431887,1706002732.6746924,1706002755.3976476,1706002755.429731
24dql,641,vectorized_logs,1706002732.572714,1706002732.629981,1706002732.6606221,1706002755.4298873,1706002755.462376
8sctx,641,vectorized_logs,1706002732.5751853,1706002732.629726,1706002732.6598384,1706002755.4625049,1706002755.4978392
qmsxn,611,vectorized_logs,1706002729.4579084,1706002729.463379,1706002729.4824898,1706002755.4980564,1706002755.532922
7m8kc,642,vectorized_logs,1706002732.6772797,1706002732.7761502,1706002732.808377,1706002755.5330355,1706002755.564393
24dql,642,vectorized_logs,1706002732.6736403,1706002732.7618392,1706002732.7920246,1706002755.5644977,1706002755.6002698
8sctx,642,vectorized_logs,1706002732.6760736,1706002732.761276,1706002732.7923665,1706002755.6003911,1706002755.632457
qmsxn,612,vectorized_logs,1706002729.5587003,1706002729.5836854,1706002729.6138322,1706002755.632561,1706002755.669401
7m8kc,643,vectorized_logs,1706002732.7779562,1706002732.8091073,1706002732.8289478,1706002755.6695673,1706002755.7146356
24dql,643,vectorized_logs,1706002732.7747447,1706002732.7926543,1706002732.8118048,1706002755.7147353,1706002755.743058
8sctx,643,vectorized_logs,1706002732.777125,1706002732.7929783,1706002732.8120008,1706002755.7431548,1706002755.7763546
qmsxn,613,vectorized_logs,1706002729.6608412,1706002729.7150774,1706002729.7447984,1706002755.7764843,1706002755.8132544
7m8kc,644,vectorized_logs,1706002732.8830574,1706002732.9304967,1706002732.9587152,1706002755.8133903,1706002755.8462481
24dql,644,vectorized_logs,1706002732.876665,1706002732.9130442,1706002732.9446623,1706002755.8464346,1706002755.8772995
8sctx,644,vectorized_logs,1706002732.8790166,1706002732.9133997,1706002732.9447021,1706002755.8774521,1706002755.9105923
qmsxn,614,vectorized_logs,1706002729.7623239,1706002729.8460674,1706002729.8828268,1706002755.910767,1706002755.9466174
7m8kc,645,vectorized_logs,1706002732.9843931,1706002733.060529,1706002733.0907462,1706002755.9467206,1706002755.9800916
24dql,645,vectorized_logs,1706002732.9782202,1706002733.0460827,1706002733.0772974,1706002755.9802315,1706002756.0151358
